Unnamed: 0,Producto,Peso,Categoria,Marca,Link,link,PLU,Puntos,EAN
552,Chocolate EKONO clavos y canela (500 gr),500 gr,Chocolate,EKONO,https://www.exito.com/chocolate-clavos-y-canela-ekono-500-gr-3140248/p,https://www.exito.com/chocolate-clavos-y-canela-ekono-500-gr-3140248/p,3454318,1.569,7701001925752
553,Café CAFE QUINDIO gourmet cápsulas x10und (55 gr),55 gr,Café,CAFE QUINDIO,https://www.exito.com/capsula-gourmet-752718/p,https://www.exito.com/capsula-gourmet-752718/p,1055017,4.000,7702728230648
554,Café TOSTAO Tostado Y Molido Selecto (340 gr),340 gr,Café,TOSTAO Y,https://www.exito.com/cafe-tostao-tostado-y-molido-selecto-340-gr-3193552/p,https://www.exito.com/cafe-tostao-tostado-y-molido-selecto-340-gr-3193552/p,3629607,1.703,7708024204154
555,café DORIGENN (340 gr),340 gr,café,DORIGENN,https://www.exito.com/caf-molido-orinoquia-343680/p,https://www.exito.com/caf-molido-orinoquia-343680/p,1393330,4.614,7709507213373
556,Café AMOR PERFECTO (365 gr),365 gr,Café,AMOR PERFECTO,https://www.exito.com/cafe-de-origen-amor-perfecto-365-gramo-3004471/p,https://www.exito.com/cafe-de-origen-amor-perfecto-365-gramo-3004471/p,3006717,4.793,7709990326802
557,Café instantáneo NESCAFE TRADICIÓN frasco gratis MILO (170 gr),170 gr,Café,NESCAFE TRADICIÓN MILO,https://www.exito.com/cafe-tradicion-nescafe-170-gr-3143117/p,https://www.exito.com/cafe-tradicion-nescafe-170-gr-3143117/p,3466302,3.857,7702024643449
558,Chocolate en polvo LYNE Clavos y canela (120 gr),120 gr,Chocolate,LYNE,https://www.exito.com/cocoa-dietaria-clavos-y-canela-lyne-120-gr-3122835/p,https://www.exito.com/cocoa-dietaria-clavos-y-canela-lyne-120-gr-3122835/p,3383740,1.857,7702007077926
559,Crema OMA (430 gr),430 gr,Crema,OMA,https://www.exito.com/crema-no-lactea-bolsa-430-gr-795012/p,https://www.exito.com/crema-no-lactea-bolsa-430-gr-795012/p,766480,3.707,7702747008167
560,Café SALENTO molido premium origen Quíndio (500 gr),500 gr,Café,SALENTO,https://www.exito.com/cafe-premium-molido-salento-500-gramo-833182/p,https://www.exito.com/cafe-premium-molido-salento-500-gramo-833182/p,1110331,7.786,7709990606775
561,Café EXITO MARCA PROPIA instantáneo granulado (170 gr),170 gr,Café,EXITO MARCA PROPIA,https://www.exito.com/cafe-inst-solubl-granulado-ex-6756/p,https://www.exito.com/cafe-inst-solubl-granulado-ex-6756/p,253898,2.469,7701001069241
562,Café EXITO MARCA PROPIA instantáneo original (85 gr),85 gr,Café,EXITO MARCA PROPIA,https://www.exito.com/cafe-instantaneo-pulverizado-x-85-gr-6752/p,https://www.exito.com/cafe-instantaneo-pulverizado-x-85-gr-6752/p,251157,1.184,7701001071794
563,Chocolate de mesa CORONA 0% azúcar endulzado naturalmente (166.4 gr),166.4 gr,Chocolate,CORONA,https://www.exito.com/chocolate-endulzado-con-stevia-corona-1664-gr-3083476/p,https://www.exito.com/chocolate-endulzado-con-stevia-corona-1664-gr-3083476/p,3260353,1.993,7702007075663
564,Café NESCAFE TRADICIÓN Instantáneo 85 gr,,Café,NESCAFE TRADICIÓN,https://www.exito.com/nescafe-tradicional-x-85-gramos-118999/p,https://www.exito.com/nescafe-tradicional-x-85-gramos-118999/p,561496,2.279,7702024005780
565,Chocolate EKONO tradicional (250 gr),250 gr,Chocolate,EKONO,https://www.exito.com/chocolate-tradicional-ekono-250-gr-3140250/p,https://www.exito.com/chocolate-tradicional-ekono-250-gr-3140250/p,3454320,943,7701001925776
566,Café COLCAFE clásico (50 gr),50 gr,Café,COLCAFE,https://www.exito.com/cafe-instantaneo-vainilla-x-50-gr-361157/p,https://www.exito.com/cafe-instantaneo-vainilla-x-50-gr-361157/p,443010,1.369,7702032253074
567,Chocolate LUKER Amargo (250 gr),250 gr,Chocolate,LUKER,https://www.exito.com/chocolate-amargo-15898/p,https://www.exito.com/chocolate-amargo-15898/p,6076,2.557,7702088012021
568,Café Nescafé DOLCA Soluble frasco (170 gr),170 gr,Café,DOLCA,https://www.exito.com/nescafe-dolca-dawn-jar-392866/p,https://www.exito.com/nescafe-dolca-dawn-jar-392866/p,694528,2.779,7702024059875
569,Café EXITO MARCA PROPIA instantáneo granulado (50 gr),50 gr,Café,EXITO MARCA PROPIA,https://www.exito.com/cafe-instantaneo-soluble-granulado-x-50-gr-876061/p,https://www.exito.com/cafe-instantaneo-soluble-granulado-x-50-gr-876061/p,283642,850,7701001071800
